datetime,open,high,low,close,volume
2020-11-02,109.11,110.67,107.32,108.77,122866899
2020-11-03,109.66,111.49,108.73,110.44,107020000
2020-11-04,114.14,115.59,112.35,114.95,137809900
2020-11-05,117.95,119.62,116.87,119.03,125734400
2020-11-06,118.32,119.2,116.13,118.69,114283600
2020-11-09,120.5,121.985,116.05,116.32,154515315
2020-11-10,115.55,117.59,114.13,115.97,137656000
2020-11-11,117.19,119.63,116.44,119.49,112024300
2020-11-12,119.62,120.53,118.57,119.21,103162300
2020-11-13,119.45,119.67,117.87,119.25,73275945
2020-11-16,118.92,120.99,118.15,120.3,91183018
2020-11-17,119.55,120.67,118.96,119.39,74060500
2020-11-18,118.61,119.82,118.0,118.03,76169900
2020-11-19,117.59,119.06,116.81,118.64,73860200
2020-11-20,118.64,118.77,117.29,117.34,73391400
2020-11-23,117.18,117.62,113.75,113.85,127959318
2020-11-24,113.91,115.85,112.59,115.17,113585600
2020-11-25,115.55,116.75,115.17,116.03,76375300
2020-11-27,116.57,117.49,116.22,116.59,46691300
2020-11-30,116.97,120.97,116.82,119.05,169410176
2020-12-01,121.01,123.47,120.01,122.72,127728200
2020-12-02,122.02,123.37,120.89,123.08,88840300
2020-12-03,123.52,123.78,122.21,122.94,78830700
2020-12-04,122.57,122.8608,121.52,122.25,64212944
2020-12-07,122.31,124.57,122.25,123.75,78742725
2020-12-08,124.35,124.98,123.095,124.33,70190324
2020-12-09,124.53,125.95,121.0,121.78,114816900
2020-12-10,120.5,123.87,120.15,123.24,81122100
2020-12-11,122.2499,122.76,120.55,122.49,73718920
2020-12-14,122.6,123.35,121.57,121.78,79075988
2020-12-15,124.2687,127.9,124.25,127.893,139658948
2020-12-16,127.41,128.37,126.56,127.81,98067300
2020-12-17,128.96001,129.565,128.05,128.64999,76327990
2020-12-18,128.88,129.10001,126.12,126.65,108795507
2020-12-21,125.02,128.31,123.449,128.23,121251553
2020-12-22,131.61,134.41,129.64999,131.88,168904800
2020-12-23,132.16,132.42999,130.78,130.96001,88051200
2020-12-24,131.32001,133.46001,131.10001,131.97,54930100
2020-12-28,133.99001,137.34,133.50999,136.69,124486237
2020-12-29,138.05,138.78999,134.34,134.87,120778200
2020-12-30,135.58,135.99001,133.39999,133.72,96292700
2020-12-31,134.08,134.74001,131.72,132.69,98990400
2021-01-04,133.52,133.6116,126.76,129.41,136307431
2021-01-05,128.89,131.74001,128.42999,131.00999,97299700
2021-01-06,127.72,131.05,126.38,126.6,154617600
2021-01-07,128.36,131.63,127.86,130.92,109004900
2021-01-08,132.42999,132.63,130.23,132.05,104965400
